text,language
Wachana nao bana wao ni watu wengine,Sheng
Kawuono wadhi e chiro maber sawa,Luo
I watched a great movie last night,English
She has been working here for two years,English
Nimechoka na hii system yote bana,Sheng
We should meet for coffee sometime soon,English
Osiep mara ne ojiwa chiemo maber,Luo
Nyithindo nyalo somo gi chune maber,Luo
Naskia ule msee ana mshida mkubwa,Sheng
Poa sawa tutaonana base kesho bana,Sheng
Saa hii niko stateside kwa muda,Sheng
Niko nyumbani sasa hivi,Swahili
The government announced new policies today,English
The hospital staff were very professional,English
Ule msee alikuja na gari mpya maze,Sheng
I forgot my password and cannot log in,English
Ule mwizi alifukuzwa kwa nguvu bana,Sheng
Chiemo maber en gima miyo ngima,Luo
She graduated with honors from university,English
Nilifanya kazi kwa bidii jana yote,Swahili
Soko la Gikomba lina bidhaa nyingi,Swahili
I have been living here for five years,English
Ere yo ma wadhi e skul kawuono?,Luo
The shop opens at eight every morning,English
Usisahau kunilipa pesa zangu bana,Sheng
Hiyo kitu ni fiti kabisa siku hizi,Sheng
Ok awinjo maber kuom gima timre,Luo
Chiemo maber telo gi dhi piny,Luo
Hii ni kali sana hata mimi naskia,Sheng
Watoto wanaenda shule kwa miguu,Swahili
Manze usinilazimishe kufanya hilo,Sheng
My phone battery is almost dead again,English
Hii kitu inabidi tufanye haraka sana,Sheng
Maze nimechoka sana na hii maisha,Sheng
Naomba unisamehe kwa kosa langu,Swahili
Mama ananipikia chakula kitamu,Swahili
Umeme ulikatika usiku kucha,Swahili
Please wash your hands before eating food,English
Nyithindo nyalo lemo gi chunegi duto,Luo
Ok adhiyo kanyo saa moro ahinya,Luo
Ulifika lini bana nilikuwa nakungoja,Sheng
Mwaka huu tumefanikiwa sana shuleni,Swahili
I lost my wallet somewhere in town,English
Maze nairobi saa hii ni ngumu sana,Sheng
Gima onego ilosre en ng'ato moro,Luo
Kitabu hiki ni cha faida kubwa,Swahili
Can I borrow your charger for a moment?,English
Adhi e skul kawuono ahinya sawa,Luo
It is important to stay hydrated always,English
Ninapenda kusoma vitabu vya historia,Swahili
An gi duong matek ahinya kawuono,Luo
I bought groceries from the market today,English
Tulikuwa na party ya kali sana jana,Sheng
Habari yako leo?,Swahili
Chiemo ma iya miyo ngima maber,Luo
Adhi kar lemo kawuono ni sawa,Luo
We celebrated my birthday at a restaurant,English
Nyathi en ng'ama ber sana ahinya,Luo
Ng'ato nyalo kony jomoko maber,Luo
Naskia uko na game leo usiku?,Sheng
I need to buy a new laptop soon,English
Rafiki yangu ananisaidia kila wakati,Swahili
Mwanafunzi alipita mtihani wake wote,Swahili
Nilikuwa nikiangalia ile movie ya mara,Sheng
Osiep mara en ng'ama ber ahinya,Luo
Bana naomba usiseme hivyo tena kabisa,Sheng
Aparo ng'ato moro ahinya kawuono,Luo
Hospitali ipo mbali sana na nyumba,Swahili
Wach maber miyo ng'ato hera ahinya,Luo
Wach maber bende en gima ber,Luo
Baba yangu ni daktari mzuri sana,Swahili
Usinisumbue bana niko busy saa hii,Sheng
Maji ni maisha kwa binadamu,Swahili
I will visit my family during the holidays,English
Shule yangu ipo karibu na kanisa,Swahili
Huyo msee si wa kuamini hata kidogo,Sheng
Ule msee ni smart sana si mchezo,Sheng
Tulifika poa tu bila matatizo bana,Sheng
Aherore ni ahinya sana maber pile,Luo
He is the most hardworking student here,English
Chakula cha Swahili ni kitamu sana,Swahili
The children need to sleep early tonight,English
I need to renew my driving license soon,English
Ng'ato nyalo medo ng'eyo gik maber,Luo
Tutaonana kesho asubuhi,Swahili
Mganga alimsaidia mgonjwa kupona,Swahili
Tich mapile miyo ng'ato duong ahinya,Luo
Polisi wamekamata wezi wa benki,Swahili
Nairobi ni mji mkubwa wa Kenya,Swahili
Adwaro ng'ato moro kony ahinya,Luo
Tulikuwa tukicheza ball jana usiku,Sheng
Ninahitaji msaada wako haraka sana,Swahili
The news today was very shocking indeed,English
Chane maber en gima miyo duong,Luo
Base yetu ni Ngong Road saa hii,Sheng
Maze niko na njaa sana leo bro,Sheng
Watoto wanacheza nje ya nyumba,Swahili
Joduong jo konyore gi chiene maber,Luo
The university offers many good courses,English
The meeting starts at nine o'clock sharp,English
Hii ni mzigo mzito sana kusheba bana,Sheng
Niko tayari kuanza safari saa hii,Sheng
Simba ni mfalme wa msitu wa Afrika,Swahili
Piny ler maber ahinya odiechieng ni,Luo
Chiemo ni ber ahinya sana kawuono,Luo
Wan duto wadhi kar lemo kawuono,Luo
Si uniambie ukweli tu bila hii drama,Sheng
Jibu langu ni hapana kabisa,Swahili
Mtoto alilala mapema usiku jana,Swahili
Please be quiet during the presentation,English
Lamo Nyasaye en gima ber ahinya,Luo
Nyathi ni onge e ot sani,Luo
Gima ber en ng'ato moro ma kony,Luo
Msee alisema atakuja na pesa zote,Sheng
Niko na stress mob saa hii,Sheng
Basi litaondoka saa tatu asubuhi,Swahili
Hiyo story ni ya zamani sana bana,Sheng
She moved to a new apartment last month,English
Unadhani tutafika wakati huu bana?,Sheng
Si ukuje base tuzungumze vizuri poa,Sheng
Tich maber miyo ng'ato miel ahinya,Luo
Chakula kiko tayari mezani,Swahili
I am so tired after a long day,English
Habari za asubuhi ni njema sana,Swahili
She cooked the most delicious meal ever,English
Ninakupenda sana wewe,Swahili
I am planning a trip to the coast,English
She is my best friend from high school,English
Simu yangu imepotea leo asubuhi,Swahili
She passed all her exams with distinction,English
Gari inakataa kuanza asubuhi maze,Sheng
Wapigakura wamekusanyika mjini,Swahili
She is studying computer science at university,English
Ninafanya kazi ofisini kila siku,Swahili
Joduong jokwaya mochiw kony maber,Luo
Treni itaondoka saa mbili usiku,Swahili
I enjoyed the football match yesterday,English
Base yetu iko Eastlands saa hii,Sheng
Osiep maber en gima ber ni sana,Luo
I applied for a job and got accepted,English
Wan gi chien mar hera maber ahinya,Luo
Wan gi chien mar yo marachar,Luo
Uchaguzi utafanyika mwezi ujao,Swahili
Duka hili linauza nguo za bei nafuu,Swahili
Tulifanya shopping Westie jana poa,Sheng
Waende tu wao sisi tujipange poa,Sheng
Aherore ni sana kata mana pile,Luo
Tumekuwa tukijaribu kila kitu bana,Sheng
Uko salama maze nilikuwa na wasiwasi,Sheng
Shirika la ndege limetangaza safari,Swahili
Shamba letu lina mazao mengi,Swahili
Oganda duto ochiwo golo nyaka,Luo
Adhiyo kar chiemo kawuono odiechieng,Luo
Gari langu limeharibika barabarani,Swahili
Waenda wapi mblo usiku huu?,Sheng
Wan duto waneno maber ahinya nene,Luo
Nilikuwa nakuambia lakini hukusikia,Sheng
Piny rach ahinya kawuono pile ni,Luo
The school fees must be paid this week,English
He called me three times this morning,English
Wacha tuende base sasa hivi bro,Sheng
The internet connection is very slow today,English
The hospital is two kilometers from here,English
Manze sijui kama atakuja au la,Sheng
She is a very talented and hardworking person,English
Gima ber en ng'ato moro ka kony,Luo
Familia yangu inaishi Nairobi,Swahili
Msee yule ni wa mende kabisa saa,Sheng
Hesabu ngumu lakini ninajaribu,Swahili
He studied hard and passed his exams,English
Aherore ahinya sana kata mana nene,Luo
I finished cooking dinner a while ago,English
